product_barcode,product_id,sum_src,support,industry_id,province
8936072580923,18530,1,1.0,2,Hồ Chí Minh
8806557000430,40205,3,1.0,2,Hồ Chí Minh
5012251006712,39214,4,1.0,2,Hồ Chí Minh
3337875663076,15640,2,1.0,2,Hồ Chí Minh
4005808364831,36972,1,1.0,2,Hồ Chí Minh
8001280400674,42227,1,1.0,2,Hồ Chí Minh
436763282398,58775,5,1.0,2,Hồ Chí Minh
8809514483338,16865,1,1.0,2,Hồ Chí Minh
8809514483017,16876,2,1.0,2,Hồ Chí Minh
4005800161445,33532,5,1.0,2,Hồ Chí Minh
6928820043035,41645,4,1.0,2,Hồ Chí Minh
STSXH600,59558,1,1.0,2,Hồ Chí Minh
9327693006838,46853,3,1.0,2,Hồ Chí Minh
0551,57669,1,1.0,2,Hồ Chí Minh
4710155277689,17003,3,1.0,2,Hồ Chí Minh
8806185728584,44345,1,1.0,2,Hồ Chí Minh
4901872441587,14630,1,1.0,2,Hồ Chí Minh
4901696539019,20533,2,1.0,2,Hồ Chí Minh
4511413615348,13862,2,1.0,2,Hồ Chí Minh
4680007210129,31427,1,1.0,2,Hồ Chí Minh
9555250056006,19253,1,1.0,2,Hồ Chí Minh
5273,61618,2,1.0,2,Hồ Chí Minh
8809664982668,39095,1,1.0,2,Hồ Chí Minh
0068,20783,2,1.0,2,Hồ Chí Minh
935029905851,46997,1,1.0,2,Hồ Chí Minh
769915190403,32730,2,1.0,2,Hồ Chí Minh
8936173950137,14723,1,1.0,2,Hồ Chí Minh
42417521,47648,2,1.0,2,Hồ Chí Minh
9314807022860,43805,1,1.0,2,Hồ Chí Minh
8008970008783,48808,1,0.2,2,Hồ Chí Minh
8008970008783,42845,2,0.4,2,Hồ Chí Minh
8008970008783,43311,2,0.4,2,Hồ Chí Minh
6920354820533,15296,1,1.0,2,Hồ Chí Minh
8936104220582,31275,2,1.0,2,Hồ Chí Minh
8991380232261,47209,1,1.0,2,Hồ Chí Minh
0022796976703,30609,19,0.8260869565217391,2,Hồ Chí Minh
0022796976703,38970,4,0.17391304347826086,2,Hồ Chí Minh
3760130891455,53367,1,1.0,2,Hồ Chí Minh
3337875597180,39752,1,0.5,2,Hồ Chí Minh
3337875597180,38412,1,0.5,2,Hồ Chí Minh
4511413523476,13863,1,1.0,2,Hồ Chí Minh
4582118954292,16529,1,1.0,2,Hồ Chí Minh
8809261550376,17159,1,1.0,2,Hồ Chí Minh
6902395774242,14211,4,1.0,2,Hồ Chí Minh
6971025880509,34302,1,1.0,2,Hồ Chí Minh
8936084080275,18030,1,1.0,2,Hồ Chí Minh
8436097093540,39181,1,1.0,2,Hồ Chí Minh
4513574022812,38915,1,1.0,2,Hồ Chí Minh
TRE001,44710,1,1.0,2,Hồ Chí Minh
5901887002420,43519,2,1.0,2,Hồ Chí Minh
3337875598071,14276,6,0.2857142857142857,2,Hồ Chí Minh
3337875598071,18508,8,0.38095238095238093,2,Hồ Chí Minh
3337875598071,43064,1,0.047619047619047616,2,Hồ Chí Minh
3337875598071,40442,3,0.14285714285714285,2,Hồ Chí Minh
3337875598071,32446,3,0.14285714285714285,2,Hồ Chí Minh
8938510523295,16678,2,1.0,2,Hồ Chí Minh
8809612852739,40363,6,0.35294117647058826,2,Hồ Chí Minh
